user_id,item_id
21045880,69764064
117580921,79844368
47594591,228709779
15980685,270139183
113777396,227859102
37659974,168768093
57983419,205011486
57983419,190240002
57514177,41754099
34939780,147906406
234304,49160471
82733729,106857779
69754786,282934321
1434429,97041394
96934202,142753471
21209933,114803627
37006225,270051181
53675738,195233141
7427654,327885992
31191408,123784105
35012787,318652632
6430954,86026736
123591416,202996860
92500742,32770361
30559509,69693904
32988961,312892549
133910532,81332743
83284013,377842259
70412049,69716809
42182525,335164334
133427880,245368175
91223012,383861951
42844457,361583049
104891848,362175164
74703764,360010027
60284321,195917652
136723996,144290891
128378444,403980947
141529449,93565616
16143276,229694662
105195383,189879787
61414783,280984931
119608608,243249846
111289035,177967778
4662641,241953909
30284767,297122733
25837904,313385001
83654474,134802803
71344020,393818696
71588286,194862366
46599714,278531245
124743824,34476130
124743824,180349393
21552019,387476455
125518888,34067406
29066645,216587412
79913871,331115759
79913871,220893175
79913871,331829475
105767002,32966526
3961781,246334935
137190407,395378042
137190407,395378042
84123477,189190764
79868555,149792372
13741474,312804839
102041361,25238761
117368135,277114195
131228215,7841252
54596791,397962515
54596791,261519925
121047127,286177163
43496207,88880055
43496207,43217707
43023889,32957373
59348943,105716480
8036273,136203620
8036273,136203620
55963214,136245310
66983676,23624158
107789990,150449837
109090731,62516629
79046175,233862203
69103074,312521883
39819685,329026076
39819685,145378473
627349,105132664
96993474,196833738
33652302,209513896
33652302,215544541
6378117,129371726
60371446,194701908
85235720,86302060
45577644,247524677
45577644,134906761
90823472,257653607
106042420,378820941
1064331,148850602
25992841,173525858
112548251,56253004
80376775,276661983
49928,270882795
135424089,102069211
105568389,30558632
112991940,230946120
16873602,272460074
130637943,269020361
50068354,156556561
58391604,112735973
1627203,10242987
1627203,119194218
1627203,161662763
25866313,293153375
25866313,331984000
59832372,72615378
133489842,260376366
35320346,8138362
67278217,22066385
113795499,108400717
131532094,66957036
136701385,12451871
106783016,112029869
94376746,218589399
106783016,303441766
43252806,177940526
55585675,333494517
38995551,369998566
19409059,55606071
61924014,100351139
60473530,228207359
6257162,389208408
135580342,157921662
118390819,288054201
10735808,329830160
10735808,41375284
111516163,196369323
133031809,2009810
26664688,106248455
26664688,160609829
14504881,322977015
26664688,324233608
12732146,353027125
88366771,293574890
38394899,154158593
83435952,303185923
112225904,395443588
96523839,182954957
24839021,228058625
24839021,161303549
24839021,384665303
24839021,398819247
24839021,30756865
24839021,163169700
131396587,130807310
131396587,246233390
114890353,46958253
37605904,214546854
61849905,345477748
122374396,125038673
133641782,294961790
104512968,326133087
12781227,374484080
110468225,63510666
103872466,186389005
78922712,328741676
15926090,328846261
140872172,61351959
22496560,37523800
23793179,239102346
34593792,149616780
91388134,237443798
36723448,287449548
22833522,138638751
62144462,247007513
104634409,100849190
76240558,39142765
142181977,116916321
16618693,108266819
3889704,290186080
3889704,58397198
3303277,302069833
3303277,391139049
101998375,387361077
123242164,271056621
58949820,267933634
58949820,25976612
112271829,378878990
118974630,109287921
125788856,213035171
72249339,171014535
72249339,50926727
72249339,18259779
35194603,288595528
7944698,275237012
13789551,227897657
40186813,219139994
128818870,21510203
66421472,279755845
71193336,109179442
71193336,124241182
140635650,198725064
140635650,247474919
140635650,29258343
102482295,192192953
48995879,74590908
7335217,314667152
141996578,277269693
74016810,93347410
120527330,97078293
120527330,254404114
14167442,76034499
129575184,271917916
57866263,97465694
93325108,282779722
37407111,326890979
111509432,120881192
65420018,353266810
65420018,65155637
109369720,256267889
71681758,119679813
49445501,222873883
77364367,46442908
6866692,68958907
131032896,61324433
98062481,332705931
84110753,4935383
80154957,349400082
14035158,336335286
83257584,199731435
47032159,346728277
29515777,49787153
29515777,311091992
29515777,224810062
29515777,77291632
30187992,342136601
29064427,285435481
29064427,76936530
29064427,373694029
29064427,373694029
29064427,260959814
76214743,366911878
31379822,2217535
85374735,79683005
91304394,274541189
91304394,181483878
92960199,245373881
52726145,185651374
24045086,1784006
87107968,380217571
16891565,235456350
46288074,167149633
130269564,251162841
130269564,400514007
41839555,398836382
124792007,333423415
69051488,164339293
18760411,2129225
121420532,363372182
68981931,115843024
22894873,57999574
22894873,164249019
45674240,404477380
111625873,170465979
111625873,343404008
111625873,161048847
77187176,77964254
33406584,311612765
135809294,357921741
135809294,231742242
54987533,293204231
54878837,65231727
118701616,369988385
118597588,11541169
110632475,36672341
30872855,237322540
8442041,293380289
69240146,266847858
69240146,1184626
120131293,336873926
96778352,225661211
58308741,255856964
27756102,349429565
125190441,170367570
51862581,132933436
78018680,288483962
93101761,362168709
120182336,51362989
16896741,400109264
27794139,40492778
104531516,380651150
47071435,206564061
107022033,361911821
107022033,278739738
107022033,163966142
84547687,112387050
84547687,219929278
