67431810,13214,18816,0,0,0
51816656,9232,17759,152,298,30
50915402,9079,14567,1,310,4
32123143,7506,18322,246,23,22
129398889,7274,18395,33,148,28
35254700,7142,16201,639,248,19
88017169,6668,13158,258,4,13
1902324,6496,13374,1781,602,127
643640,5996,13281,224,22,22
89394332,5801,12212,98,3118,126
72874770,5619,8853,5,93,17
76303096,5595,13260,334,84,80
23721294,5560,11409,585,651,113
3503734,5197,9722,672,879,95
98670387,5151,9371,1446,131,67
30706543,4955,9887,41,840,50
34263408,4752,9604,631,805,9
19904874,4557,10304,112,261,27
74743129,4501,13021,300,375,29
55377140,4081,9720,28,110,3
98707773,4055,7747,143,87,14
60473530,4043,9315,85,29,28
73098659,4042,9603,797,139,21
77452875,4026,7762,127,136,72
38244553,4011,6276,344,137,33
103969132,3976,9694,1,2394,59
38237353,3832,8624,173,6,10
28687396,3817,9092,32,387,61
37889013,3789,6644,6,182,15
134621848,3755,7369,5,372,28
2849616,3748,10687,226,9,10
123013882,3669,7116,42,59,49
19785023,3657,9315,136,106,47
77504559,3628,9548,231,71,26
9249489,3612,7083,540,205,35
131771420,3598,9453,8,485,47
126460283,3590,9916,18,765,72
62436178,3565,7481,7,120,26
68752329,3537,8943,651,15,18
56970482,3516,6102,36,353,34
80157281,3488,7877,238,10,9
97378097,3459,6461,504,73,4
97144998,3417,6013,13,707,122
120680358,3412,7782,905,333,39
116571466,3412,6883,375,17,6
28653821,3258,7616,132,21,13
74553691,3211,6646,221,382,48
103669711,3177,10146,283,129,25
43254718,3134,5713,216,24,14
86830493,3134,6306,7,208,47
18760411,3121,7378,256,91,19
5725817,3116,7334,191,155,65
79913871,3107,7413,137,180,155
101008138,3105,5466,7,6,4
7192667,3100,6545,107,1,6
6866692,3087,8341,89,492,130
7662848,3085,6912,38,304,32
32696162,3084,9652,12,200,29
48979594,3057,7573,170,181,39
23115142,3047,4449,149,193,44
76130800,3042,6665,175,593,68
84095777,3033,8275,83,154,25
8036273,3032,8521,202,403,37
21184032,2985,11031,602,529,52
22402560,2985,8567,110,285,25
22846324,2972,5475,2,288,21
126629557,2966,6409,574,271,93
76408520,2930,6314,316,751,66
17516380,2917,8526,30,496,20
115609030,2915,8602,41,452,48
111849931,2896,8847,123,339,52
25167480,2887,9231,324,278,40
137082661,2883,5413,183,12,10
86528162,2868,7227,594,170,78
939299,2856,6714,846,197,14
61168,2828,5547,45,630,157
85528205,2826,8447,285,308,143
69814478,2824,6416,99,106,28
97924986,2813,5074,48,64,71
15124235,2808,6503,1,82,21
15283261,2806,7629,143,128,31
74135971,2767,6577,4,45,3
17785839,2749,5637,3,332,49
135670856,2724,6276,334,695,293
41543626,2722,6938,5,174,10
82378875,2721,5182,19,268,38
92870574,2718,5299,84,96,6
68479212,2690,5306,357,2,0
82111488,2683,6191,209,236,43
104841708,2678,7077,15,156,40
103467877,2659,5404,41,229,31
117143145,2651,6117,102,62,9
32298483,2648,6362,0,28,19
123520556,2638,6869,25,196,2
53334106,2625,4762,3,285,68
138072562,2612,5867,265,178,51
118036942,2611,5950,69,45,5
99693145,2607,5095,5,47,7
99903128,2604,6608,4,573,56
116985016,2603,4677,104,38,10
17007439,2595,4928,0,157,0
124167000,2586,5854,406,58,5
137645631,2580,5350,192,78,18
94975301,2577,7125,190,59,20
85489311,2576,6889,56,18,19
123337404,2567,7027,32,1030,46
55585675,2565,7938,130,261,45
28518682,2545,5177,61,212,49
39083688,2543,5927,0,12,0
39640802,2539,6034,7,132,27
89831528,2534,6662,162,44,23
55963214,2520,6098,85,420,25
22393062,2519,5273,5,76,14
9603628,2516,5631,138,17,6
83435952,2511,5624,161,18,9
